brand,all_vegan,partial_vegan,bad_parent_company,black_owned,ulta,sephora,beauty_bay,cult_beauty,nordstrom
lunette,True,False,False,False,0,0,0,0,0
luscious cosmetics,True,False,False,False,0,0,0,0,0
lush,False,False,False,False,0,0,0,0,0
lust cosmetics,True,False,False,False,0,0,0,0,0
"luv scrub, the",False,False,False,True,0,0,0,0,0
luxie beauty,True,False,False,False,0,0,1,0,0
mahalo skin care,False,False,False,False,0,0,0,0,0
maya cosmetics,True,False,False,False,0,0,0,0,0
merit beauty,True,False,False,False,0,0,0,0,0
mogi mousse,True,False,False,False,0,0,0,0,0
momma (ministry of mineral makeup australia),True,False,False,False,0,0,0,0,0
motd cosmetics,True,False,False,False,0,0,0,0,0
mox? (moxe aromatherapy),False,False,False,False,0,0,0,0,0
mun,True,False,False,False,0,0,0,0,0
mv organic skincare,False,False,False,False,0,0,0,0,0
mabrook & co,False,False,False,False,0,0,0,0,0
mad hippie,True,False,False,False,1,0,0,0,0
madam glam,False,False,False,False,0,0,0,0,0
made from earth,False,False,False,False,0,0,0,0,0
made simple skincare,True,False,False,False,0,0,0,0,0
mai couture,False,False,False,False,0,0,0,0,0
maison meunier,True,False,False,False,0,0,0,0,0
makeup addiction cosmetics,False,False,False,True,0,0,0,0,0
makeup eraser,True,False,False,False,1,1,0,0,1
makeup geek,False,False,False,False,0,0,1,0,0
makeup revolution,False,False,False,False,1,0,0,0,0
makeup by mario,False,False,False,False,0,0,0,0,0
malaya organics,False,False,False,False,0,0,0,0,0
manic panic,True,False,False,False,1,0,0,0,0
maple holistics,False,False,False,False,0,0,0,0,0
marc jacobs beauty,False,False,False,False,0,1,0,0,0
marcelle,False,False,False,False,0,0,0,0,0
maria nila,False,False,False,False,0,0,0,0,0
marie hunter beauty,False,False,False,True,0,0,0,0,0
marie natie,False,False,False,False,0,0,0,0,0
marie veronique,False,False,False,False,0,0,0,0,0
mario badescu,False,False,False,False,1,0,1,0,1
marks & spencer,False,False,False,False,0,0,0,0,0
marnie’s body care,False,False,False,False,0,0,0,0,0
maréna beauté,False,False,False,True,0,0,0,0,0
maxim,False,False,False,False,0,0,0,0,0
may lindstrom skin,False,False,False,False,0,0,0,0,0
me & you,True,False,False,False,0,0,0,0,0
meant,False,False,False,False,0,0,0,0,0
mei yin naturopathics,True,False,False,False,0,0,0,0,0
melanie mills hollywood,False,False,False,False,0,0,0,0,0
mellow cosmetics,True,False,False,False,0,0,0,0,0
melt cosmetics,False,False,False,False,0,0,1,0,0
mented cosmetics,False,False,False,False,1,0,0,0,0
mented cosmetics,True,False,False,True,0,0,0,0,0
meow cosmetics,False,False,False,False,0,0,0,0,0
